Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,"Success
",F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),Date Placeholder,Time Placeholder
2,CCAFS,Dragon,,LEO,NASA,Success,F9 v1.0[7]B0004.1[8],Failure[9][14](parachute),Date Placeholder,Time Placeholder
3,CCAFS,Dragon,"525 kg (1,157 lb)[19]",LEO,NASA,Success,F9 v1.0[7]B0005.1[8],No attempt,Date Placeholder,Time Placeholder
4,CCAFS,SpaceX CRS-1,"4,700 kg (10,400 lb)",LEO,NASA,"Success
",F9 v1.0[7]B0006.1[8],No attempt,Date Placeholder,Time Placeholder
5,CCAFS,SpaceX CRS-2,"4,877 kg (10,752 lb)",LEO,NASA,"Success
",F9 v1.0[7]B0007.1[8],No attempt,Date Placeholder,Time Placeholder
6,VAFB,CASSIOPE,"500 kg (1,100 lb)",Polar orbit,MDA,Success,F9 v1.1[7]B1003[8],Uncontrolled(ocean)[d],Date Placeholder,Time Placeholder
7,CCAFS,SES-8,"3,170 kg (6,990 lb)",GTO,SES,Success,F9 v1.1B1004,No attempt[38],Date Placeholder,Time Placeholder
8,CCAFS,Thaicom 6,"3,325 kg (7,330 lb)",GTO,Thaicom,Success,F9 v1.1,No attempt[43],Date Placeholder,Time Placeholder
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg (5,062 lb)[45]",LEO,NASA,"Success
",F9 v1.1,Controlled(ocean) [d][46],Date Placeholder,Time Placeholder
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg (2,901 lb)",LEO,Orbcomm,Success,F9 v1.1,Controlled(ocean)[d][46],Date Placeholder,Time Placeholder
11,Cape Canaveral,AsiaSat 8,"4,535 kg (9,998 lb)",GTO,AsiaSat,Success,F9 v1.1,No attempt[57],Date Placeholder,Time Placeholder
12,Cape Canaveral,AsiaSat 6,"4,428 kg (9,762 lb)",GTO,AsiaSat,Success,F9 v1.1B1011[8],No attempt,Date Placeholder,Time Placeholder
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg (4,885 lb)[62]",LEO,NASA,Success,F9 v1.1B1010[8],Uncontrolled(ocean)[d][64],Date Placeholder,Time Placeholder
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg (5,280 lb)[69]",LEO,NASA,Success,F9 v1.1B1012[8],Failure (drone ship),Date Placeholder,Time Placeholder
15,Cape Canaveral,DSCOVR,"570 kg (1,260 lb)",HEO,USAF,"Success
",F9 v1.1B1013[8],Controlled(ocean)[d],Date Placeholder,Time Placeholder
16,Cape Canaveral,ABS-3A,"4,159 kg (9,169 lb)",GTO,ABS,"Success
",F9 v1.1B1014[8],No attempt[77],Date Placeholder,Time Placeholder
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg (4,184 lb)[82]",LEO,NASA,"Success
",F9 v1.1B1015[8],Failure[83](drone ship),Date Placeholder,Time Placeholder
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg (10,377 lb)",GTO,,"Success
",F9 v1.1B1016[8],No attempt[89],Date Placeholder,Time Placeholder
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg (4,303 lb)[92]",LEO,NASA,Failure,F9 v1.1B1018[8],Precluded[94](drone ship),Date Placeholder,Time Placeholder
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg (4,484 lb)",LEO,Orbcomm,"Success
",F9 FTB1019.1[98],Success[99](ground pad),Date Placeholder,Time Placeholder
21,VAFB,Jason-3,"553 kg (1,219 lb)",LEO,NASA,"Success
",F9 v1.1B1017[8],Failure(drone ship),Date Placeholder,Time Placeholder
22,Cape Canaveral,SES-9,"5,271 kg (11,621 lb)",GTO,SES,"Success
",F9 FTB1020.1[108],Failure(drone ship),Date Placeholder,Time Placeholder
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg (6,914 lb)[116]",LEO,NASA,Success,F9 FTB1021.1[115],Success[118](drone ship),Date Placeholder,Time Placeholder
24,Cape Canaveral,JCSAT-14,"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,"Success
",F9 FTB1022.1[122],Success(drone ship),Date Placeholder,Time Placeholder
25,Cape Canaveral,Thaicom 8,"3,100 kg (6,800 lb)[132]",GTO,Thaicom,"Success
",F9 FTB1023.1[129],Success[133](drone ship),Date Placeholder,Time Placeholder
26,Cape Canaveral,ABS-2A,"3,600 kg (7,900 lb)",GTO,ABS,"Success
",F9 FTB1024.1[108],Failure[64](drone ship),Date Placeholder,Time Placeholder
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg (4,976 lb)[142]",LEO,NASA,"Success
",F9 FTB1025.1[129],Success(ground pad),Date Placeholder,Time Placeholder
28,Cape Canaveral,JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,"Success
",F9 FTB1026.1[108],Success(drone ship),Date Placeholder,Time Placeholder
29,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,"Success
",F9 FTB1029.1[151],Success[154](drone ship),Date Placeholder,Time Placeholder
30,KSC,SpaceX CRS-10,"2,490 kg (5,490 lb)[160]",LEO,NASA,"Success
",F9 FTB1031.1[8],Success(ground pad),Date Placeholder,Time Placeholder
31,KSC,EchoStar 23,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,"Success
",F9 FTB1030.1[163],No attempt[165],Date Placeholder,Time Placeholder
32,KSC,SES-10,"5,300 kg (11,700 lb)[169]",GTO,SES,Success,F9 FT ♺B1021.2[115],Success(drone ship),Date Placeholder,Time Placeholder
33,KSC,NROL-76,Classified,LEO,NRO,"Success
",F9 FTB1032.1[129],Success(ground pad),Date Placeholder,Time Placeholder
34,KSC,Inmarsat-5 F4,"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,"Success
",F9 FTB1034.1[179],No attempt[165],Date Placeholder,Time Placeholder
35,KSC,SpaceX CRS-11,"2,708 kg (5,970 lb)[186]",LEO,NASA,"Success
",F9 FTB1035.1[185],Success(ground pad),Date Placeholder,Time Placeholder
36,KSC,BulgariaSat-1,"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,"Success
",F9 FT ♺ B1029.2[195],Success(drone ship),Date Placeholder,Time Placeholder
37,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",LEO,Iridium Communications,"Success
",F9 FTB1036.1[198],Success(drone ship),Date Placeholder,Time Placeholder
38,KSC,Intelsat 35e,"6,761 kg (14,905 lb)[202]",GTO,Intelsat,"Success
",F9 FTB1037.1[200],No attempt[165],Date Placeholder,Time Placeholder
39,KSC,SpaceX CRS-12,"3,310 kg (7,300 lb)",LEO,NASA,"Success
",F9 B4B1039.1[207],Success(ground pad),Date Placeholder,Time Placeholder
40,VAFB,Formosat-5,"475 kg (1,047 lb)[212]",SSO,NSPO,"Success
",F9 FTB1038.1[209],Success(drone ship),Date Placeholder,Time Placeholder
41,KSC,Boeing X-37B,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,"Success
",F9 B4B1040.1[108],Success(ground pad),Date Placeholder,Time Placeholder
42,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,"Success
",F9 B4B1041.1[219],Success(drone ship),Date Placeholder,Time Placeholder
43,KSC,SES-11,"5,200 kg (11,500 lb)",GTO,SES S.A.,"Success
",F9 FT ♺ B1031.2[220],Success(drone ship),Date Placeholder,Time Placeholder
44,KSC,Koreasat 5A,"3,500 kg (7,700 lb)",GTO,KT Corporation,"Success
",F9 B4B1042.1[219],Success(drone ship),Date Placeholder,Time Placeholder
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg (4,861 lb)",LEO,NASA,"Success
",F9 FT ♺ B1035.2[227],Success(ground pad),Date Placeholder,Time Placeholder
